CustomerNumber,OfferAccepted,Reward,MailerType,IncomeLevel,NumBankAccountsOpen,OverdraftProtection,CreditRating,NumCreditCardsHeld,NumHomesOwned,HouseholdSize,OwnYourHome,AverageBalance,Q1Balance,Q2Balance,Q3Balance,Q4Balance,Rand,Keep,Accepted
26,No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,963,237,966,1461,1188,0.136471868,1,0
27,No,Points,Letter,Low,1,No,High,1,1,5,Yes,1071.75,1349,503,1738,697,0.136471868,1,0
28,No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,1061.75,1860,1191,923,273,0.136471868,1,0
29,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5,1890,1405,996,39,0.136471868,1,1
30,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1052,403,1225,1652,928,0.136471868,1,0
31,No,Points,Letter,Medium,1,No,High,1,2,4,No,1147.25,753,1031,1067,1738,0.136471868,1,0
32,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,1159.5,1029,684,1418,1507,0.136471868,1,0
33,No,Air Miles,Postcard,High,1,No,High,1,1,3,No,836.5,941,618,886,901,0.136471868,1,0
34,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5,820,958,564,904,0.136471868,1,1
35,No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,1791.75,1735,1950,1500,1982,0.136471868,1,0
36,No,Points,Letter,High,2,No,Low,1,1,1,No,246.25,88,430,190,277,0.136471868,1,0
37,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25,1856,1396,863,418,0.136471868,1,1
38,No,Cash Back,Letter,Medium,1,No,Low,3,2,5,Yes,1301.5,2090,1250,1071,795,0.136471868,1,0
39,No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,1089.75,1701,1484,850,324,0.136471868,1,0
40,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,974.25,100,1187,997,1613,0.136471868,1,0
41,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,991.5,1797,1265,799,105,0.136471868,1,0
42,No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,Yes,958.5,1556,1469,626,183,0.136471868,1,0
43,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,1034,1789,831,794,722,0.136471868,1,0
44,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,1246.5,1988,1589,451,958,0.136471868,1,0
45,No,Points,Letter,Low,2,No,High,1,2,3,Yes,91.25,76,64,121,104,0.136471868,1,0
46,No,Points,Letter,Medium,1,Yes,High,2,2,3,Yes,1186,1006,464,1194,2080,0.136471868,1,0
47,No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,Yes,158.75,45,118,450,22,0.136471868,1,0
48,No,Air Miles,Letter,Medium,1,No,High,3,2,2,Yes,1057,1741,1236,981,270,0.136471868,1,0
49,No,Points,Postcard,High,1,No,Low,1,2,4,No,1195,1197,1866,1304,413,0.136471868,1,0
50,No,Cash Back,Letter,Medium,2,No,High,1,1,4,Yes,1426,1363,1833,1505,1003,0.136471868,1,0
51,No,Air Miles,Letter,Low,2,No,High,2,1,4,Yes,764.75,732,951,521,855,0.136471868,1,0
52,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830,155,842,1450,873,0.136471868,1,0
53,No,Air Miles,Letter,Low,1,No,High,2,1,3,No,1162.25,405,1242,1788,1214,0.136471868,1,0
54,No,Cash Back,Letter,Medium,2,No,High,2,2,3,Yes,1065.5,906,883,1571,902,0.136471868,1,0
55,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5,675,1173,1519,1199,0.136471868,1,1
56,No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,823.75,586,995,822,892,0.136471868,1,0
57,No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,1034,1519,1401,867,349,0.136471868,1,0
58,No,Air Miles,Letter,Medium,1,No,Low,4,2,4,No,1144.5,954,1752,803,1069,0.136471868,1,0
59,No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,1117,65,1762,1723,918,0.136471868,1,0
60,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75,438,762,1014,1977,0.136471868,1,1
61,No,Air Miles,Letter,Medium,1,No,Medium,3,1,5,No,935.75,302,435,1700,1306,0.136471868,1,0
62,No,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1265,679,1505,1989,887,0.136471868,1,0
63,Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034,1720,1070,911,435,0.136471868,1,1
64,No,Air Miles,Letter,Low,2,No,Low,1,1,3,No,1028.75,1729,1346,925,115,0.136471868,1,0
65,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25,1709,1089,521,230,0.136471868,1,1
66,No,Points,Letter,High,1,No,Low,2,1,3,No,139,247,57,4,248,0.136471868,1,0
67,No,Points,Letter,Medium,1,No,High,4,1,3,Yes,1164.5,829,739,1385,1705,0.136471868,1,0
68,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984,1414,759,1111,652,0.136471868,1,1
69,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,1176,242,1241,1655,1566,0.136471868,1,0
70,No,Air Miles,Postcard,Medium,1,No,Medium,3,2,5,No,1504.5,929,1050,2232,1807,0.136471868,1,0
71,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25,950,948,950,677,0.136471868,1,1
72,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,1168.5,2162,1074,972,466,0.136471868,1,0
73,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5,1302,1545,1396,187,0.136471868,1,1
74,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,742.25,690,649,837,793,0.136471868,1,0
75,No,Cash Back,Postcard,High,1,No,Medium,3,1,4,Yes,734,560,806,941,629,0.136471868,1,0
76,No,Points,Postcard,High,1,No,High,1,1,3,Yes,1159.25,50,1437,1807,1343,0.136471868,1,0
77,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25,1688,1113,697,87,0.136471868,1,1
78,No,Air Miles,Letter,Medium,1,No,High,2,2,5,Yes,1101.75,599,1325,1792,691,0.136471868,1,0
79,No,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,No,278,410,81,136,485,0.136471868,1,0
80,No,Points,Letter,Medium,2,Yes,Medium,3,1,5,No,715.25,855,776,715,515,0.136471868,1,0
81,No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,1611.5,1653,1542,1681,1570,0.136471868,1,0
82,No,Points,Letter,High,3,No,Low,1,1,4,Yes,253.25,417,200,368,28,0.136471868,1,0
83,No,Points,Postcard,Medium,1,No,Medium,2,1,3,No,275.5,402,258,155,287,0.136471868,1,0
84,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5,873,656,1350,899,0.136471868,1,1
85,No,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,172.75,90,187,388,26,0.136471868,1,0
86,No,Points,Postcard,Low,1,Yes,Low,1,1,5,No,1076,731,1226,1447,900,0.136471868,1,0
87,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,5,Yes,1094,877,1332,1493,674,0.136471868,1,0
88,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5,1657,1273,643,93,0.136471868,1,1
89,No,Cash Back,Postcard,High,1,No,High,2,2,4,No,913.75,528,690,876,1561,0.136471868,1,0
90,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,1107,1769,932,871,856,0.136471868,1,0
91,No,Points,Letter,High,1,No,Medium,2,1,3,Yes,1223.5,2181,1456,522,735,0.136471868,1,0
92,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,3,Yes,984.25,1765,1173,770,229,0.136471868,1,0
93,Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,1735.25,1626,1713,1902,1700,0.136471868,1,1
94,No,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,823.25,57,977,1520,739,0.136471868,1,0
95,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25,621,1533,1357,458,0.136471868,1,1
96,No,Cash Back,Postcard,Medium,3,No,Low,2,2,4,No,750.75,584,917,930,572,0.136471868,1,0
97,No,Points,Letter,Medium,2,No,Medium,3,1,4,Yes,1072,1783,1219,830,456,0.136471868,1,0
98,No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,910.25,67,1674,1480,420,0.136471868,1,0
99,No,Points,Letter,Medium,1,No,Medium,3,1,5,Yes,884.5,246,726,1213,1353,0.136471868,1,0
100,No,Points,Letter,High,2,Yes,High,2,1,3,Yes,1069,1214,1312,1082,668,0.136471868,1,0
101,No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,1095.25,317,1206,1441,1417,0.136471868,1,0
102,No,Cash Back,Letter,High,1,No,Low,2,2,3,Yes,1157.5,1124,921,1630,955,0.136471868,1,0
103,No,Air Miles,Letter,Medium,1,No,Medium,2,2,2,No,1015.75,1914,1253,821,75,0.136471868,1,0
104,No,Cash Back,Letter,High,1,Yes,Medium,3,1,3,Yes,962,327,439,1574,1508,0.136471868,1,0
105,No,Cash Back,Postcard,High,2,Yes,Medium,1,1,3,No,1049.75,1995,1180,529,495,0.136471868,1,0
106,No,Cash Back,Postcard,High,1,No,High,1,1,5,Yes,1255.5,1242,1442,1192,1146,0.136471868,1,0
107,No,Air Miles,Postcard,Medium,2,No,Low,2,1,4,Yes,1018.75,1506,1380,735,454,0.136471868,1,0
108,No,Points,Letter,Low,1,No,Low,3,1,4,Yes,1157.75,223,1439,1990,979,0.136471868,1,0
109,Yes,Points,Postcard,Medium,1,No,High,2,1,3,No,1028.75,342,1233,806,1734,0.136471868,1,1
110,No,Points,Postcard,Medium,1,Yes,Low,2,1,2,No,1233,2027,1687,514,704,0.136471868,1,0
111,No,Cash Back,Postcard,Medium,1,No,High,2,1,3,No,929,259,1049,2004,404,0.136471868,1,0
112,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,1364.75,2180,1436,1390,453,0.136471868,1,1
113,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,841.75,556,1027,1225,559,0.136471868,1,1
114,No,Points,Letter,Low,1,No,High,3,2,4,No,1009,459,757,1607,1213,0.136471868,1,0
115,No,Air Miles,Postcard,Low,2,No,Low,2,1,3,Yes,954.75,1112,432,1298,977,0.136471868,1,0
116,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,4,No,1327.25,1873,1390,1183,863,0.136471868,1,1
117,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,No,107.75,160,28,208,35,0.136471868,1,0
118,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1255.75,931,1341,1710,1041,0.136471868,1,0
119,No,Cash Back,Postcard,Low,2,No,Low,1,1,3,Yes,997.25,1924,1115,559,391,0.136471868,1,0
120,No,Points,Postcard,High,1,Yes,Low,1,2,5,Yes,1106.25,1343,453,964,1665,0.136471868,1,0
121,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,179.5,177,96,20,425,0.136471868,1,0
122,No,Points,Postcard,Medium,1,No,High,2,1,6,Yes,946.75,1615,1433,554,185,0.136471868,1,0
123,No,Points,Letter,Low,1,No,High,1,1,4,No,1096.25,704,877,1533,1271,0.136471868,1,0
124,No,Air Miles,Letter,Medium,1,No,High,1,1,4,No,285,339,71,457,273,0.136471868,1,0
125,Yes,Air Miles,Postcard,Low,1,Yes,Low,1,1,4,Yes,1034.75,1612,1297,902,328,0.136471868,1,1
126,No,Cash Back,Letter,Low,2,No,High,1,1,2,No,812.25,1273,1188,548,240,0.136471868,1,0
127,No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,No,137,164,251,78,55,0.136471868,1,0
128,Yes,Cash Back,Letter,Medium,1,No,Low,3,1,4,No,938.25,137,1785,1201,630,0.136471868,1,1
129,No,Points,Letter,Medium,1,Yes,Low,1,1,4,No,672.5,542,809,832,507,0.136471868,1,0
130,No,Air Miles,Letter,Low,1,No,Medium,2,1,3,Yes,1071.75,361,1225,1778,923,0.136471868,1,0
131,Yes,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1054.75,1364,1360,446,1049,0.136471868,1,1
132,No,Points,Letter,Low,1,No,Medium,3,1,2,Yes,751,611,975,719,699,0.136471868,1,0
133,No,Air Miles,Postcard,High,1,No,Medium,3,2,4,No,1449.5,1385,700,2103,1610,0.136471868,1,0
134,No,Points,Letter,Low,2,No,High,2,1,3,Yes,1357.25,874,1613,1832,1110,0.136471868,1,0
135,No,Points,Letter,Medium,2,No,High,3,1,5,Yes,1131.5,410,1245,1618,1253,0.136471868,1,0
136,No,Air Miles,Postcard,Medium,1,Yes,Medium,2,1,3,No,1032.75,1858,1054,765,454,0.136471868,1,0
137,No,Air Miles,Letter,Low,1,No,Low,3,1,2,No,288.25,445,259,125,324,0.136471868,1,0
138,Yes,Points,Postcard,Medium,1,No,High,1,1,2,Yes,612.75,517,624,797,513,0.136471868,1,1
139,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,1083,785,866,1259,1422,0.136471868,1,0
140,No,Cash Back,Letter,Low,2,No,Low,2,2,3,Yes,886.25,1474,1008,566,497,0.136471868,1,0
141,Yes,Points,Postcard,Low,1,No,Low,2,1,1,No,1215.75,391,1598,2023,851,0.136471868,1,1
142,No,Air Miles,Postcard,High,2,No,High,4,1,4,Yes,1056.25,753,470,1437,1565,0.136471868,1,0
143,No,Points,Postcard,Low,1,No,High,3,2,2,No,973,400,1489,1342,661,0.136471868,1,0
144,No,Points,Postcard,Medium,2,No,Medium,2,1,4,No,1046.75,471,920,1019,1777,0.136471868,1,0
145,No,Air Miles,Postcard,High,2,No,Medium,3,3,3,No,208.25,238,270,181,144,0.136471868,1,0
146,No,Points,Letter,High,1,No,High,2,1,2,No,1016.5,295,1329,903,1539,0.136471868,1,0
147,No,Air Miles,Postcard,Medium,1,No,Medium,1,2,4,Yes,816.75,135,405,1256,1471,0.136471868,1,0
148,No,Points,Letter,Medium,1,No,Low,1,1,4,Yes,1066,461,789,2006,1008,0.136471868,1,0
149,Yes,Cash Back,Postcard,Low,2,Yes,Low,2,1,3,Yes,1097.5,1992,1422,726,250,0.136471868,1,1
150,No,Points,Letter,High,1,No,Low,2,1,3,Yes,986.75,143,486,2192,1126,0.136471868,1,0
151,No,Points,Postcard,Medium,1,No,High,1,1,5,No,308,464,452,55,261,0.136471868,1,0
152,No,Points,Letter,Medium,1,Yes,Low,1,1,5,No,1028.75,582,731,1408,1394,0.136471868,1,0
153,No,Air Miles,Letter,Low,2,No,High,2,1,4,Yes,1021,912,812,950,1410,0.136471868,1,0
154,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,1070,2029,1745,402,104,0.136471868,1,1
155,No,Points,Letter,Medium,1,Yes,Low,2,1,4,Yes,912.5,24,1219,1598,809,0.136471868,1,0
156,No,Cash Back,Letter,Medium,1,No,Low,1,1,4,Yes,259.5,97,438,442,61,0.136471868,1,0
157,No,Points,Letter,Medium,1,No,High,1,2,4,Yes,939.75,1690,1299,565,205,0.136471868,1,0
158,No,Points,Letter,Low,1,No,High,2,1,5,Yes,997.75,1597,1043,1246,105,0.136471868,1,0
159,No,Points,Postcard,Medium,2,No,Medium,2,1,3,Yes,895,108,562,1440,1470,0.136471868,1,0
160,No,Cash Back,Postcard,Low,1,No,Low,2,2,3,No,953.75,1531,1383,736,165,0.136471868,1,0
161,No,Air Miles,Letter,High,1,No,High,2,1,3,Yes,687,741,782,580,645,0.136471868,1,0
162,Yes,Points,Postcard,High,1,No,Low,2,1,2,Yes,1126.25,395,1754,1545,811,0.136471868,1,1
163,No,Air Miles,Letter,Low,2,Yes,Low,2,1,3,Yes,1241.75,752,822,1575,1818,0.136471868,1,0
164,No,Air Miles,Postcard,High,1,No,Low,1,1,4,Yes,1335.75,748,757,1754,2084,0.136471868,1,0
165,No,Cash Back,Postcard,Medium,1,No,High,2,2,2,Yes,1098.25,516,1407,1298,1172,0.136471868,1,0
166,Yes,Air Miles,Letter,High,2,Yes,Medium,1,1,4,Yes,175.75,389,16,94,204,0.136471868,1,1
167,No,Points,Postcard,Medium,1,Yes,Low,2,1,5,Yes,840.25,1588,1038,667,68,0.136471868,1,0
168,No,Points,Letter,Medium,1,No,High,2,2,3,Yes,735.75,772,726,885,560,0.136471868,1,0
169,Yes,Points,Postcard,Low,1,Yes,Low,1,1,5,No,825.5,665,730,1286,621,0.136471868,1,1
170,No,Air Miles,Postcard,Low,2,No,Low,3,1,4,Yes,843,796,1140,1017,419,0.136471868,1,0
171,No,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,1155,1797,1699,511,613,0.136471868,1,0
172,No,Cash Back,Postcard,Medium,2,No,Medium,2,1,5,Yes,342.5,426,492,155,297,0.136471868,1,0
173,Yes,Air Miles,Postcard,High,1,No,Low,1,2,5,Yes,259.25,152,208,196,481,0.136471868,1,1
174,No,Cash Back,Postcard,Low,2,No,High,3,1,3,Yes,732.75,551,688,979,713,0.136471868,1,0
175,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,985.75,485,793,2144,521,0.136471868,1,1
176,Yes,Points,Postcard,Medium,2,No,Low,2,1,5,Yes,955.75,812,1400,813,798,0.136471868,1,1
177,No,Air Miles,Postcard,Low,2,Yes,Low,2,1,4,No,831.5,870,947,800,709,0.136471868,1,0
178,Yes,Air Miles,Postcard,Medium,1,No,Low,2,2,4,Yes,1124,740,963,1092,1701,0.136471868,1,1
179,Yes,Air Miles,Postcard,Medium,1,No,Medium,1,1,5,Yes,1014.25,482,1486,1387,702,0.136471868,1,1
180,Yes,Air Miles,Postcard,Medium,2,Yes,Low,2,1,3,Yes,1074.75,325,459,1605,1910,0.136471868,1,1
181,No,Cash Back,Letter,High,2,No,Medium,3,1,2,Yes,1611.75,1657,1648,1637,1505,0.136471868,1,0
182,No,Points,Letter,High,3,No,High,1,1,2,Yes,1113,800,909,1620,1123,0.136471868,1,0
183,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1133.75,1870,1271,678,716,0.136471868,1,0
184,No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,164.75,187,164,149,159,0.136471868,1,0
185,No,Cash Back,Postcard,High,1,No,Medium,2,1,2,Yes,1343,1332,860,1996,1184,0.136471868,1,0
186,No,Air Miles,Letter,Medium,1,No,Medium,1,2,5,No,1000.25,207,1171,1491,1132,0.136471868,1,0
187,Yes,Points,Postcard,High,1,No,Low,1,1,3,Yes,1015.75,1775,1203,874,211,0.136471868,1,1
188,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,Yes,1376.25,804,1283,1340,2078,0.136471868,1,0
189,Yes,Points,Postcard,Low,1,No,Low,2,2,3,No,970.75,1515,1487,628,253,0.136471868,1,1
190,No,Cash Back,Postcard,Medium,2,No,Medium,1,1,3,Yes,1085,708,413,1669,1550,0.136471868,1,0
191,Yes,Cash Back,Letter,Low,2,No,Low,2,1,4,Yes,1084,868,940,1425,1103,0.136471868,1,1
192,Yes,Points,Postcard,Low,1,No,Low,2,1,4,Yes,178.5,197,464,11,42,0.136471868,1,1
193,No,Air Miles,Postcard,High,1,No,High,1,2,4,No,1664.25,1326,1203,2239,1889,0.136471868,1,0
194,No,Cash Back,Postcard,High,1,No,High,2,1,3,No,1047.75,856,615,882,1838,0.136471868,1,0
195,Yes,Points,Letter,Low,1,No,Low,2,1,6,Yes,140,145,65,120,230,0.136471868,1,1
196,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,903,228,565,2074,745,0.136471868,1,0
197,No,Points,Postcard,Medium,1,No,Medium,2,1,1,No,892.75,920,946,863,842,0.136471868,1,0
198,No,Cash Back,Letter,High,2,No,Medium,3,1,3,No,268,403,94,373,202,0.136471868,1,0
199,No,Points,Postcard,Medium,3,No,Medium,2,1,4,Yes,1228,2192,1251,898,571,0.136471868,1,0
200,No,Points,Postcard,Medium,1,No,High,2,1,2,No,1219.75,1874,1505,985,515,0.136471868,1,0
201,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,288.5,252,367,88,447,0.136471868,1,0
202,No,Points,Postcard,Medium,1,No,High,2,1,3,No,962.25,1690,1416,735,8,0.136471868,1,0
203,No,Points,Postcard,Medium,1,No,High,3,1,3,Yes,927.75,608,1003,1280,820,0.136471868,1,0
204,No,Points,Letter,High,1,Yes,High,2,1,4,No,841.5,884,875,610,997,0.136471868,1,0
205,No,Air Miles,Letter,Medium,1,No,Low,3,1,3,No,305.75,440,388,29,366,0.136471868,1,0
206,Yes,Cash Back,Postcard,Medium,1,No,High,3,1,3,No,978.75,1368,1474,976,97,0.136471868,1,1
207,No,Points,Postcard,Medium,1,No,Low,2,1,3,No,719.5,975,504,895,504,0.136471868,1,0
208,No,Points,Postcard,Medium,1,No,Low,4,1,3,Yes,1349.75,949,1775,1444,1231,0.136471868,1,0
209,No,Cash Back,Postcard,High,2,No,Low,2,1,4,Yes,1221.25,825,1693,1185,1182,0.136471868,1,0
210,No,Cash Back,Postcard,Low,1,No,High,3,2,4,Yes,350.75,250,498,205,450,0.136471868,1,0
211,Yes,Points,Letter,Medium,1,No,Low,2,1,3,No,259.75,307,385,245,102,0.136471868,1,1
212,No,Cash Back,Postcard,Medium,1,No,Low,1,2,5,No,947,1371,1281,611,525,0.136471868,1,0
213,No,Points,Postcard,Medium,2,No,Medium,2,1,3,No,738.75,655,790,933,577,0.136471868,1,0
214,No,Points,Postcard,Medium,2,No,Medium,2,1,5,Yes,755.5,814,643,887,678,0.136471868,1,0
215,No,Points,Letter,Low,1,No,Medium,2,1,3,Yes,1309.5,645,928,2152,1513,0.136471868,1,0
216,No,Air Miles,Postcard,Low,1,No,Medium,2,1,5,Yes,962.5,330,518,1701,1301,0.136471868,1,0
217,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,762,867,827,798,556,0.136471868,1,0
218,Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,4,No,1246,1973,1304,806,901,0.136471868,1,1
219,Yes,Cash Back,Postcard,Medium,1,No,Low,3,1,3,Yes,1002.5,221,981,1157,1651,0.136471868,1,1
220,No,Cash Back,Letter,High,2,No,Low,1,1,4,Yes,1226,2147,935,1195,627,0.136471868,1,0
221,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,823.75,729,651,977,938,0.136471868,1,0
222,Yes,Cash Back,Postcard,Low,1,No,Medium,1,1,3,Yes,998,2016,895,867,214,0.136471868,1,1
223,Yes,Air Miles,Letter,Low,2,No,Medium,2,1,3,Yes,1073,1603,1499,458,732,0.136471868,1,1
224,No,Points,Postcard,High,1,No,Medium,2,2,1,No,964.5,522,571,1152,1613,0.136471868,1,0
225,No,Cash Back,Postcard,Medium,2,No,Medium,2,1,4,Yes,906.75,381,901,943,1402,0.136471868,1,0
226,No,Points,Postcard,High,1,No,High,2,3,3,Yes,1305.75,1763,1571,1089,800,0.136471868,1,0
227,No,Points,Letter,Medium,1,No,High,3,1,1,No,1333.25,220,1889,1336,1888,0.136471868,1,0
228,No,Points,Letter,Medium,2,No,Medium,4,2,3,Yes,804,644,779,845,948,0.136471868,1,0
229,No,Cash Back,Letter,Low,1,No,Low,3,1,2,Yes,1115.75,928,1367,1330,838,0.136471868,1,0
230,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1291,708,1242,1206,2008,0.136471868,1,0
231,No,Air Miles,Postcard,High,1,No,High,1,2,5,Yes,1148,1798,1151,1293,350,0.136471868,1,0
232,Yes,Points,Postcard,Medium,2,No,Medium,3,1,4,Yes,1318.5,658,1261,1793,1562,0.136471868,1,1
233,No,Cash Back,Postcard,Medium,1,No,High,2,2,2,Yes,1333.75,348,1211,1995,1781,0.136471868,1,0
234,No,Points,Postcard,High,2,No,Medium,1,1,3,Yes,1054,1417,1249,885,665,0.136471868,1,0
235,No,Points,Postcard,Low,1,No,Medium,1,1,4,No,832.25,144,797,1818,570,0.136471868,1,0
236,Yes,Air Miles,Postcard,Low,1,No,Low,3,1,5,No,1106.25,954,922,915,1634,0.136471868,1,1
237,No,Points,Letter,Medium,2,No,High,2,1,1,Yes,1153.25,2077,886,1369,281,0.136471868,1,0
238,Yes,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,979.5,1239,1017,1131,531,0.136471868,1,1
